item_date,order_date,order_id,order_item_id,user_id,status,sale_price,cost,brand,category,department,product_name,gender,country,state,city
2023-01-03,2022-12-30,106189,153929,84904,Processing,6.9800000190734863,3.45510000372082,Ilusion,Intimates,Women,Ilusion Women's Low-rise Floral Lace Panty BLACK L,F,France,Bourgogne-Franche-Comté,Besançon
2023-01-03,2022-12-30,106189,153930,84904,Processing,159.99000549316406,75.0353126573512,Gore,Active,Women,Gore Bike Wear Women's Contest Windstopper Soft Shell Lady Jacket,F,France,Bourgogne-Franche-Comté,Besançon
2023-01-04,2023-01-02,22265,32089,17958,Cancelled,9.0,5.0489999894052735,Assets,Intimates,Women,Footless Shaper,F,France,Nouvelle-Aquitaine,Thouars
2023-01-05,2023-01-05,120585,174711,96372,Shipped,66.0,34.056000050157309,DC,Fashion Hoodies & Sweatshirts,Women,DC Juniors Jasper Fleece Hoody,F,France,Grand Est,Heiteren
2023-01-06,2023-01-02,22265,32090,17958,Cancelled,74.989997863769531,31.5707891073516,Purpura Erizo,Dresses,Women,Purpura Erizo Womens Elegant Lace Collar Long Sleeve Dress,F,France,Nouvelle-Aquitaine,Thouars
2023-01-07,2023-01-07,94007,136238,75233,Shipped,11.090000152587892,5.4341000772468746,Allegra K,Jumpsuits & Rompers,Women,Allegra K Ladies Black Tie Shoulder Cut Out Sleeve Short Jumpsuit,F,France,Occitanie,Vauvert
2023-01-08,2023-01-08,29903,43285,24071,Complete,26.989999771118164,15.600219911141991,Underboss/ Undergirl,Sleep & Lounge,Women,Adventure Time Women's Sleep Tank: Jake,F,France,Occitanie,Montpellier
2023-01-08,2023-01-08,121871,176581,97383,Complete,11.899999618530272,6.05709980122149,Allegra K,Jumpsuits & Rompers,Women,Allegra K Lady Zipped Back Drawstring Front Side Pockets Casual Jumpsuit Red XS,F,France,Pays de la Loire,Angers
2023-01-10,2023-01-10,99560,144403,79633,Shipped,35.9900016784668,16.699360834583047,Danskin,Active,Women,Danskin Women's Drawcord Pant,F,France,Auvergne-Rhône-Alpes,Grane
2023-01-15,2023-01-15,24843,35874,20048,Processing,29.0,13.600999960675836,Wool Overs,Sweaters,Women,Womens Lambswool Slipover V Neck Sleeveless Sweater,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-17,2023-01-15,24843,35876,20048,Processing,79.949996948242173,33.898798752517251,Bradford Exchange,Fashion Hoodies & Sweatshirts,Women,The Bradford Exchange Nursing Women's Hoodie: The Art Of Caring Black,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-17,2023-01-18,79641,115407,63688,Processing,46.9900016784668,23.213060870474727,Dockers,Pants & Capris,Women,Dockers Women's Plus-Size Trouser,F,France,Bretagne,Rennes
2023-01-17,2023-01-17,83477,120991,66717,Shipped,22.889999389648441,12.86417971906036,Ilusion,Sleep & Lounge,Women,Soft Cotton Sleepwear Pajamas Set - Lightweight Breathable Fabric,F,France,Nouvelle-Aquitaine,Bergerac
2023-01-18,2023-01-15,24843,35875,20048,Processing,37.880001068115234,21.137040532789229,Pendleton,Jeans,Women,Pendleton Women's Petite Boyfriend Slim Jean,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-01-20,2023-01-18,79641,115408,63688,Processing,23.229999542236328,10.2676598364377,Roma Costume,Swim,Women,2Pc Full Back Tie Pucker Bikini Set,F,France,Bretagne,Rennes
2023-01-21,2023-01-17,83477,120990,66717,Shipped,15.100000381469728,7.4141001650258893,Hanes,Intimates,Women,Beautiful Comfort Concealing Wirefree,F,France,Nouvelle-Aquitaine,Bergerac
2023-01-22,2023-01-22,64720,93734,51713,Shipped,68.0,26.45200015604496,L*Space,Swim,Women,L*Space Santorini Sunrise Loop Side Hipster Bottom,F,France,Provence-Alpes-Côte d'Azur,Manosque
2023-01-22,2023-01-22,85984,124666,68702,Complete,9.9700002670288086,3.5892000901877879,Teramasu,Accessories,Women,Cashmere Feel Camel Black White and Red Plaid Scarf,F,France,Île-de-France,Neuilly-sur-Seine
2023-01-25,2023-01-24,65847,95406,52634,Shipped,7.9899997711181632,3.88313988531068,TrendsBlue,Plus,Women,Elegant Solid Color Infinity Loop Jersey Scarf - Different Colors Available,F,France,Normandie,Guichainville
2023-01-26,2023-01-26,40376,58322,32438,Returned,21.950000762939453,12.445650428334623,Hip,Intimates,Women,Hip-T Layering Accessory for Your Hips- Black (No Lace) 3 XL (24-26/ 51-55),F,France,Auvergne-Rhône-Alpes,Châteauneuf-sur-Isère
2023-01-26,2023-01-24,65847,95405,52634,Shipped,82.30999755859375,35.228678903564514,Design History,Sweaters,Women,Design History Women's Long Sleeve Ruffle Cozy Cardigan,F,France,Normandie,Guichainville
2023-01-29,2023-01-29,87327,126598,69774,Shipped,9.9499998092651367,5.3729998881071808,Solutions That Stick,Intimates,Women,Low Expectations: Low-back Bra Converters EXTRA LONG Beige,F,France,Pays de la Loire,Commequiers
2023-01-31,2023-01-31,14774,21340,11971,Shipped,44.9900016784668,24.339590869963253,Levi's,Jeans,Women,Levi's Women's Demi Curve Straight Leg Jean,F,France,Hauts-de-France,Boulogne-sur-Mer
2023-01-31,2023-01-31,93400,135371,74688,Shipped,64.949996948242188,32.929648406302931,Eddie Bauer,Pants & Capris,Women,Eddie Bauer Boyfriend Legend Wash Chino Pants,F,France,Nouvelle-Aquitaine,Pau
2023-02-01,2023-02-01,67178,97313,53703,Processing,46.0,22.401999901980162,Alfred Dunner,Pants & Capris,Women,Solid Proportioned Medium Pant in Black by Alfred Dunner Petites,F,France,Occitanie,Aigaliers
2023-02-04,2023-02-01,39489,57038,31746,Returned,49.5,21.730500058270991,Fox,Fashion Hoodies & Sweatshirts,Women,Fox Womens Juniors Equilibrium Pullover Sweater,F,France,Occitanie,Albi
2023-02-04,2023-02-01,39489,57039,31746,Returned,5.9000000953674316,3.47510006531477,FineBrandShop,Leggings,Women,Khaki Beige Seamless Capri Leggings Three Quarter Length,F,France,Occitanie,Albi
2023-02-04,2023-02-04,103938,150703,83079,Cancelled,42.0,19.403999973088503,Dickies,Outerwear & Coats,Women,Dickies  Women's Eisenhower Jacket,F,France,Pays de la Loire,Les Ponts-de-Cé
2023-02-05,2023-02-05,115521,167382,92344,Processing,26.0,10.217999955639243,Betsey Johnson,Socks & Hosiery,Women,Betsey Johnson Women's 3 Pack Socks,F,France,Provence-Alpes-Côte d'Azur,Tarascon
2023-02-05,2023-02-05,123223,178549,98517,Complete,14.0,7.5459999851882467,Fashion Forms,Intimates,Women,Fashion Forms Women's 2 Hook Soft Back Bra Extender,F,France,Île-de-France,Morsang-sur-Orge
2023-02-06,2023-02-06,89474,129676,71444,Returned,189.0,105.46199968457222,MiH Jeans,Jeans,Women,MiH Jeans Women's Marrakesh Jean,F,France,Île-de-France,Chelles
2023-02-07,2023-02-07,78270,113401,62529,Returned,112.0,49.840000241994858,Jantzen,Swim,Women,Jantzen Women's Pretty Pin Dot Tank,F,France,Hauts-de-France,Lille
2023-02-09,2023-02-09,79306,114914,63378,Complete,36.0,18.0,Olga,Intimates,Women,Olga Women's Disappearing Act Underwire T-Shirt Bra,F,France,Auvergne-Rhône-Alpes,Issoire
2023-02-11,2023-02-11,48074,69405,38466,Shipped,38.400001525878906,18.662400724983211,,Intimates,Women,Everyday Comfort Cami,F,France,Île-de-France,Limeil-Brévannes
2023-02-12,2023-02-12,30468,44102,24507,Returned,39.950000762939446,18.856400325579941,Aero Tech Designs,Plus,Women,Women's Cycling Knickers Padded Spandex Capri,F,France,Provence-Alpes-Côte d'Azur,Antibes
2023-02-16,2023-02-15,24840,35866,20048,Shipped,38.0,19.493999939411879,Corset Story,Intimates,Women,A3059 - Blue Diamante Corset,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-02-18,2023-02-15,24840,35865,20048,Shipped,49.9900016784668,21.995600805567207,Eddie Bauer,Active,Women,Eddie Bauer - Ladies Fleece Vest,F,France,Nouvelle-Aquitaine,Le Taillan-Médoc
2023-02-20,2023-02-20,38183,55165,30680,Processing,67.0,27.135000079870224,Belabumbum,Maternity,Women,Belabumbum Lotus Lace Black Maternity/Nursing Nightgown,F,France,Occitanie,Auterive
